epoch,step,test_step_acc,test_step_loss,train_step_acc,train_step_loss,val_step_acc,val_step_loss
0,3,,,0.59375,7.724877834320068,,
0,7,,,0.4375,7.35135555267334,,
0,8,,,,,0.5426136255264282,0.6990610361099243
1,11,,,0.5,2.369105100631714,,
1,15,,,0.6875,1.0999093055725098,,
1,17,,,,,0.5823863744735718,1.1821659803390503
2,19,,,0.59375,1.5024120807647705,,
2,23,,,0.6875,0.7178479433059692,,
2,26,,,,,0.6221590638160706,0.6801320314407349
3,27,,,0.5625,0.7577515244483948,,
3,31,,,0.59375,0.6377137303352356,,
3,35,,,0.75,0.8320459723472595,,
3,35,,,,,0.6590909361839294,0.676892876625061
4,39,,,0.75,0.4583771526813507,,
4,43,,,0.78125,0.4551527500152588,,
4,44,,,,,0.7698863744735718,0.5276749134063721
5,47,,,0.75,0.4962257444858551,,
5,51,,,0.75,0.4717622995376587,,
5,53,,,,,0.7954545617103577,0.5048192739486694
6,55,,,0.71875,0.5115159749984741,,
6,59,,,0.84375,0.47809743881225586,,
6,62,,,,,0.7897727489471436,0.5085396766662598
7,63,,,0.8125,0.3590877652168274,,
7,67,,,0.71875,0.46679750084877014,,
7,71,,,0.875,0.35615476965904236,,
7,71,,,,,0.8096590638160706,0.5068973302841187
8,75,,,0.84375,0.45184314250946045,,
8,79,,,0.875,0.4234810769557953,,
8,80,,,,,0.8068181872367859,0.46337661147117615
9,83,,,0.71875,0.4711913764476776,,
9,87,,,0.84375,0.36199021339416504,,
9,89,,,,,0.8409090638160706,0.4140639305114746
10,91,,,0.84375,0.4614073634147644,,
10,95,,,0.75,0.5256560444831848,,
10,98,,,,,0.8295454382896423,0.4315578043460846
11,99,,,0.90625,0.25644218921661377,,
11,103,,,0.875,0.3246595561504364,,
11,107,,,0.625,0.6809095740318298,,
11,107,,,,,0.875,0.41787657141685486
12,111,,,0.78125,0.5142555832862854,,
12,115,,,0.875,0.34185680747032166,,
12,116,,,,,0.8494318127632141,0.44149383902549744
13,119,,,0.875,0.30903884768486023,,
13,123,,,0.8125,0.4169858694076538,,
13,125,,,,,0.8778409361839294,0.4046251177787781
14,127,,,0.90625,0.35372450947761536,,
14,131,,,0.9375,0.24615439772605896,,
14,134,,,,,0.8778409361839294,0.3739137351512909
15,135,0.8541666865348816,0.41351112723350525,,,,
