epoch,step,test_step_acc,test_step_loss,train_step_acc,train_step_loss,val_step_acc,val_step_loss
0,3,,,0.53125,13.908208847045898,,
0,7,,,0.75,4.036921501159668,,
0,8,,,,,0.5426136255264282,2.027987003326416
1,11,,,0.65625,2.225252151489258,,
1,15,,,0.53125,1.847367525100708,,
1,17,,,,,0.5511363744735718,1.9987754821777344
2,19,,,0.5625,1.9015836715698242,,
2,23,,,0.59375,1.5708025693893433,,
2,26,,,,,0.6051136255264282,1.0501359701156616
3,27,,,0.53125,1.0223757028579712,,
3,31,,,0.78125,0.4475620687007904,,
3,35,,,0.875,0.34331658482551575,,
3,35,,,,,0.6875,0.4858863949775696
4,39,,,0.71875,0.6086568236351013,,
4,43,,,0.84375,0.3617214560508728,,
4,44,,,,,0.7386363744735718,0.4886510968208313
5,47,,,0.90625,0.4234148859977722,,
5,51,,,0.78125,0.41241908073425293,,
5,53,,,,,0.8011363744735718,0.44197073578834534
6,55,,,0.78125,0.5044001340866089,,
6,59,,,0.71875,0.567684531211853,,
6,62,,,,,0.8181818127632141,0.42619189620018005
7,63,,,0.84375,0.39613842964172363,,
7,67,,,0.9375,0.295911580324173,,
7,71,,,0.875,0.4822159707546234,,
7,71,,,,,0.8636363744735718,0.34665626287460327
8,75,,,0.78125,0.42527416348457336,,
8,79,,,0.71875,0.5100608468055725,,
8,80,,,,,0.8295454382896423,0.3787164092063904
9,83,,,0.8125,0.39631786942481995,,
9,87,,,0.8125,0.3533402681350708,,
9,89,,,,,0.8579545617103577,0.35184746980667114
10,91,,,0.90625,0.30325207114219666,,
10,95,,,0.78125,0.43742963671684265,,
10,98,,,,,0.8522727489471436,0.3542221188545227
11,99,,,0.875,0.30858349800109863,,
11,103,,,0.84375,0.40332725644111633,,
11,107,,,0.875,0.24260689318180084,,
11,107,,,,,0.8863636255264282,0.31319528818130493
12,111,,,0.875,0.3179953694343567,,
12,115,,,0.96875,0.22738322615623474,,
12,116,,,,,0.8920454382896423,0.3395802974700928
13,119,,,0.8125,0.4141544997692108,,
13,123,,,0.8125,0.2816462814807892,,
13,125,,,,,0.875,0.3141056001186371
14,127,,,0.96875,0.17634005844593048,,
14,131,,,0.875,0.26208198070526123,,
14,134,,,,,0.8977272510528564,0.3161928057670593
15,135,0.8958333134651184,0.3585101366043091,,,,
